BA,Local date,Time zone,Generation only?,Demand forecast,Demand,Net generation,Total interchange,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: GEO,NG: WAT,NG: PS,NG: SUN,NG: SNB,NG: WND,NG: WNB,NG: BAT,NG: OES,NG: UES,NG: OTH,NG: UNK,AZPS,BANC,BPAT,CEN,CFE,IID,LDWP,NEVP,PACW,SRP,TIDC,WALC,Subregion PGAE,Subregion SDGE,Subregion SCE,Subregion VEA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CISO,17Feb2024,Pacific,N,"497,060","534,976","472,892","-43,279",0,"251,050","54,223",875,,"64,518",,"83,193",,"18,254",,,,,774,,"-18,313","13,189","28,740","2,554",,"-9,088","7,794","-30,477",-111,"-32,922",-593,"-4,052","247,516","48,350","237,356","1,756",,0.89,2.04,0,"101,484",,892,"103,196","28,179","11,492","119,884","486,394","529,673",0.47,0.50
CISO,18Feb2024,Pacific,N,"470,403","499,198","457,091","-36,565",0,"212,668","54,242","1,077",,"57,278",,"90,841",,"49,572",,,,,"-8,586",,"-19,983","17,487","34,325","2,242",,"-8,975","5,987","-29,532",-64,"-33,500",-655,"-3,897","223,614","43,773","230,164","1,649",,0.89,2.04,0,"85,995",996,"1,011","88,002","27,411","11,309","104,104","479,431","515,996",0.40,0.44
CISO,19Feb2024,Pacific,N,"528,571","545,734","494,919","-52,964",0,"228,680","54,232","1,053",,"67,267",,"82,340",,"57,607",,,,,"3,741",,"-24,104","11,803","26,224","3,307",,"-8,945","7,399","-30,578",-145,"-31,223",-635,"-6,067","239,214","49,068","255,791","1,658",,0.89,2.04,0,"92,417",973,"1,062","94,451","28,923","9,232","114,142","508,816","561,780",0.41,0.45
CISO,20Feb2024,Pacific,N,"551,374","580,574","498,154","-79,473",0,"274,706","54,178",893,,"69,444",,"63,040",,"31,867",,,,,"4,022",,"-29,854","1,236","20,022","5,767",,"-7,841","12,095","-30,406",-159,"-43,122",-766,"-6,445","250,966","54,605","273,362","1,641",,0.89,2.04,0,"111,145",,883,"112,857","35,896","9,409","139,344","507,540","587,013",0.49,0.52
CISO,21Feb2024,Pacific,N,"526,716","554,196","489,817","-58,118",0,"223,581","54,181",989,,"67,503",,"89,235",,"59,374",,,,,"-5,045",,"-24,688","2,960","22,222","3,882",,"-8,719","18,189","-28,497",-122,"-39,130",-694,"-3,521","244,630","48,355","259,335","1,876",,0.89,2.05,0,"90,527",918,"1,084","92,528","30,791","9,271","114,048","509,357","567,475",0.40,0.44
CISO,22Feb2024,Pacific,N,"521,687","538,250","462,644","-66,785",0,"205,783","54,247","1,002",,"67,626",,"108,788",,"26,174",,,,,-983,,"-23,561",498,"13,088","2,752",,"-9,080","17,841","-28,354",-238,"-36,429",-727,"-2,575","240,218","45,495","250,657","1,878",,0.90,2.04,0,"83,645",928,"1,047","85,619","30,013","6,899","108,734","481,825","548,610",0.39,0.44
CISO,23Feb2024,Pacific,N,"517,575","542,255","460,911","-68,308",0,"211,316","54,228",999,,"71,826",,"95,440",,"26,966",,,,,141,,"-19,748",-136,"14,330","2,509",,"-9,167","14,168","-31,106",-147,"-34,243",-643,"-4,125","242,244","47,049","251,132","1,831",,0.89,2.04,0,"85,588",923,"1,010","87,522","29,665","6,820","110,366","477,780","546,088",0.40,0.45
CISO,24Feb2024,Pacific,N,"474,270","492,477","369,919","-114,482",0,"148,784","54,192","1,019",,"68,284",,"78,765",,"17,288",,,,,"1,587",,"-23,695","-6,158","-6,712",792,,"-9,361","-1,899","-25,772",-46,"-37,885",-515,"-3,231","214,896","45,258","230,534","1,787",,0.89,2.04,0,"60,264",942,892,"62,098","31,016","1,967","91,147","384,181","498,663",0.36,0.40
CISO,25Feb2024,Pacific,N,"462,914","478,571","358,649","-111,822",0,"120,267","54,195","1,058",,"71,063",,"81,283",,"29,102",,,,,"1,686",,"-24,971","-3,450","-3,525",840,,"-8,301","-5,403","-25,235",47,"-37,554",-704,"-3,566","210,126","44,986","221,705","1,756",,0.89,2.03,0,"48,678",975,960,"50,613","29,424","2,717","77,321","373,601","485,423",0.30,0.35
CISO,26Feb2024,Pacific,N,"538,148","554,024","396,150","-158,000",0,"137,551","54,164","1,009",,"70,544",,"55,466",,"77,520",,,,,-107,,"-30,113","-14,706","-13,280","2,695",,"-7,200","-11,371","-30,297",-29,"-46,294",-810,"-6,595","242,285","54,262","255,929","1,548",,0.89,2.03,0,"55,816",928,"1,028","57,772","38,509",525,"95,757","408,745","566,745",0.31,0.37
CISO,27Feb2024,Pacific,N,"523,360","535,327","453,825","-78,029",0,"150,825","54,155","1,011",,"75,746",,"100,742",,"70,617",,,,,723,,"-27,025","7,146","18,521","2,199",,"-9,243","3,806","-27,525",0,"-39,529",-983,"-5,396","235,003","48,518","250,042","1,768",,0.89,2.03,0,"61,208",930,"1,227","63,365","30,021","5,372","88,014","474,229","552,258",0.29,0.35
CISO,28Feb2024,Pacific,N,"508,357","529,653","419,035","-98,826",0,"170,609","54,260",985,,"71,468",,"108,014",,"16,716",,,,,"-3,016",,"-20,950","-6,428",526,"3,898",,"-9,244","4,054","-27,686",0,"-37,202","-1,082","-4,712","235,346","45,838","246,597","1,871",,0.89,2.03,0,"68,837",907,"1,022","70,767","28,671","2,902","96,536","440,240","539,066",0.35,0.39
CISO,29Feb2024,Pacific,N,"532,206","558,310","447,132","-105,134",0,"150,159","54,207",966,,"81,947",,"102,807",,"60,625",,,,,"-3,572",,"-24,112","-2,468","3,982","1,177",,"-8,885","-3,683","-27,175",130,"-38,055","-1,028","-5,017","252,679","50,234","253,598","1,802",,0.89,2.03,0,"60,813",890,"1,199","62,902","29,271","2,089","90,084","466,171","571,305",0.30,0.35
CISO,01Mar2024,Pacific,N,"533,383","552,594","459,474","-93,761",0,"161,594","54,171",919,,"75,119",,"91,293",,"75,103",,,,,"1,271",,"-29,495","4,768","15,930",106,,"-8,928","-2,002","-26,897",377,"-40,636","-1,246","-5,738","255,685","45,016","250,202","1,689",,0.90,2.04,0,"65,677",850,"1,202","67,729","30,355","4,153","93,931","478,381","572,142",0.31,0.36
